epi_week,disease,cases
2018-W50,Dengue Fever,107
2018-W51,Dengue Fever,127
2018-W52,Dengue Fever,160
2019-W01,Dengue Fever,205
2019-W02,Dengue Fever,245
2019-W03,Dengue Fever,207
2019-W04,Dengue Fever,221
2019-W05,Dengue Fever,179
2019-W06,Dengue Fever,135
2019-W07,Dengue Fever,232
2019-W08,Dengue Fever,181
2019-W09,Dengue Fever,156
2019-W10,Dengue Fever,133
2019-W11,Dengue Fever,109
2019-W12,Dengue Fever,96
2019-W13,Dengue Fever,99
2019-W14,Dengue Fever,108
2019-W15,Dengue Fever,125
2019-W16,Dengue Fever,134
2019-W17,Dengue Fever,156
2019-W18,Dengue Fever,192
2019-W19,Dengue Fever,287
2019-W20,Dengue Fever,307
2019-W21,Dengue Fever,376
2019-W22,Dengue Fever,400
2019-W23,Dengue Fever,396
2019-W24,Dengue Fever,464
2019-W25,Dengue Fever,430
2019-W26,Dengue Fever,492
2019-W27,Dengue Fever,591
2019-W28,Dengue Fever,661
2019-W29,Dengue Fever,644
2019-W30,Dengue Fever,601
2019-W31,Dengue Fever,597
2019-W32,Dengue Fever,521
2019-W33,Dengue Fever,522
2019-W34,Dengue Fever,474
2019-W35,Dengue Fever,412
2019-W36,Dengue Fever,326
2019-W37,Dengue Fever,314
2019-W38,Dengue Fever,299
2019-W39,Dengue Fever,258
2019-W40,Dengue Fever,243
2019-W41,Dengue Fever,226
2019-W42,Dengue Fever,239
2019-W43,Dengue Fever,241
2019-W44,Dengue Fever,306
2019-W45,Dengue Fever,321
2019-W46,Dengue Fever,372
2019-W47,Dengue Fever,329
2019-W48,Dengue Fever,295
2019-W49,Dengue Fever,280
2019-W50,Dengue Fever,257
2019-W51,Dengue Fever,226
2019-W52,Dengue Fever,290
,,91381
